,1. open,2. high,3. low,4. close,5. volume
2026-03-31,288.47,295.072,284.945,294.16,12956879
2026-04-01,295.39,298.72,292.91,295.38,11267167
2026-04-02,291.91,295.62,288.72,294.6,6669252
2026-04-06,294.06,296.83,293.195,295.45,7142621
2026-04-07,293.14,298.18,292.6982,297.4,7849083
2026-04-08,307.97,311.26,305.33,307.97,10590165
2026-04-09,306.95,311.26,306.11,310.33,6586601
2026-04-10,310.0,310.35,306.72,309.87,6069693
2026-04-13,307.47,313.74,305.4571,313.68,8318221
2026-04-14,309.82,314.32,308.87,311.12,11455513
2026-04-15,313.95,314.24,304.26,305.93,9885824
2026-04-16,305.35,309.95,305.2,309.95,8208612
2026-04-17,312.47,314.9,310.09,310.29,11082391
2026-04-20,310.85,317.13,310.37,316.99,10772003
2026-04-21,317.49,320.235,312.75,313.0,7084264
2026-04-22,314.85,315.1486,311.9404,313.02,5545909
2026-04-23,313.52,314.99,308.89,311.69,6969656
2026-04-24,311.15,311.15,307.89,308.28,5215321
2026-04-27,306.88,312.58,306.88,311.63,7925317
2026-04-28,315.2,315.45,311.17,311.45,7398596
2026-04-29,310.57,312.045,307.29,309.25,8031805
2026-04-30,307.07,314.1,306.57,313.23,8865387
2026-05-01,313.95,316.08,311.83,312.47,6135359
2026-05-04,310.62,310.65,306.51,307.65,7338179
2026-05-05,307.71,310.97,306.8,309.4,6316845
2026-05-06,311.45,316.2595,311.35,314.9,8629538
2026-05-07,314.65,316.3,306.14,306.27,8359599
2026-05-08,308.25,308.99,300.5,302.1,9464267
2026-05-11,302.1,303.19,298.88,300.0,9511957
2026-05-12,300.02,306.0624,295.55,304.88,9498214
2026-05-13,302.27,303.0,300.0709,300.25,7709525
2026-05-14,302.25,303.7504,298.81,299.91,7364315
2026-05-15,300.205,300.79,296.45,297.81,8699281
2026-05-18,298.0,301.26,297.22,300.73,7546296
2026-05-19,301.09,301.79,295.26,295.7,8066927
2026-05-20,296.7,302.925,293.67,301.98,9281374
2026-05-21,301.23,303.975,300.21,303.0,7874388
2026-05-22,304.68,307.45,303.84,306.38,5978568
2026-05-26,308.49,309.93,305.44,306.74,7731840
2026-05-27,305.0,305.9,295.75,299.28,11785439
2026-05-28,297.57,301.07,295.75,296.73,9766204
2026-05-29,296.4,299.88,295.195,299.31,13973665
2026-06-01,297.69,299.55,295.27,296.58,7929978
2026-06-02,296.5,302.07,295.27,300.96,8296234
2026-06-03,299.92,301.96,296.56,300.85,7003935
2026-06-04,305.74,312.91,304.44,310.89,10345161
2026-06-05,314.29,315.0,309.6,312.37,9118778
2026-06-08,313.25,316.295,310.78,311.11,6827027
2026-06-09,313.51,316.415,309.01,312.7,11594550
2026-06-10,312.56,314.75,309.03,309.14,7446218
2026-06-11,309.56,314.72,308.88,313.49,9116617
2026-06-12,315.97,321.3,315.55,320.72,7426164
2026-06-15,323.92,325.92,318.84,319.4,7988879
2026-06-16,324.3,331.75,324.02,331.14,11094894
2026-06-17,332.18,337.77,331.5,333.46,12246449
2026-06-18,336.95,338.09,324.16,325.22,20111030
2026-06-22,329.7,332.77,326.75,331.48,10182506
2026-06-23,329.47,335.37,327.21,334.14,7582217
2026-06-24,333.07,334.53,329.77,333.45,7907442
2026-06-25,334.96,343.4485,334.76,335.12,10049358
2026-06-26,336.0,336.4,327.5,329.05,17640907
2026-06-29,328.28,332.39,327.2,329.39,7981795
2026-06-30,328.89,330.4372,326.68,327.33,8080064
2026-07-01,328.365,335.64,325.01,334.07,15210192
2026-07-02,338.02,340.0,331.77,334.47,8415407
2026-07-06,335.0,339.715,334.11,337.72,8673530
2026-07-07,340.975,341.4,337.09,339.22,7115819
2026-07-08,336.53,336.53,330.13,330.62,18505243
2026-07-09,331.46,337.0,330.8053,335.47,15570588
2026-07-10,337.47,338.5859,335.77,336.47,6299028
2026-07-13,338.34,338.35,332.5001,334.53,7120251
2026-07-14,327.0,344.73,325.75,342.89,14537914
2026-07-15,345.845,351.24,344.05,346.91,10749985
2026-07-16,349.28,349.34,341.11,343.15,12432392
2026-07-17,339.03,346.125,335.05,341.1,9250854
2026-07-20,341.8,344.26,337.37,338.87,7723269
2026-07-21,340.115,345.735,337.3,345.23,6015334
2026-07-22,345.07,349.07,344.2501,348.21,8040220
2026-07-23,346.58,349.92,345.42,349.9,10913025
2026-07-24,350.64,353.37,347.5,353.21,7520829
2026-07-27,357.89,359.05,352.58,356.2,7888760
2026-07-28,357.3,359.3,354.15,357.31,6538299
2026-07-29,356.5,357.37,343.78,344.71,8272605
2026-07-30,347.54,352.28,345.37,350.85,7607701
2026-07-31,353.3,354.47,349.7,351.79,6603422
2026-08-03,353.75,355.62,350.84,352.64,6436597
2026-08-04,355.0,363.0,353.873,357.52,8477203
2026-08-05,358.97,362.17,358.2,359.24,5269490
2026-08-06,362.81,362.81,354.945,356.3,5820107
2026-08-07,355.76,358.8543,353.33,357.52,4566210
2026-08-10,357.96,359.99,356.5,359.79,5327471
2026-08-11,360.05,363.12,358.6,362.04,4576473
2026-08-12,362.97,366.09,361.3,365.18,4366754
2026-08-13,366.5,366.5,361.52,363.11,5102686
2026-08-14,363.0,365.9,361.45,362.84,5058591
2026-08-17,361.94,365.75,360.96,360.96,5282595
2026-08-18,362.34,363.57,359.27,363.25,5525081
2026-08-19,363.01,363.05,355.645,357.26,6696210
2026-08-20,357.6,357.95,351.55,351.55,6799673
2026-08-21,354.07,356.86,350.3666,351.58,8112130
